"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testMethod","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","testRegister","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","681","shouldSearchWiki","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldSearchWiki"
"","1","loginTest","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","78","shouldClickButton","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldClickButton"
"","2","testRegister","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","33","testCRUDJson","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","testCRUDJson"
"","1","testMethod","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","81","shouldCheckTheBox","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldCheckTheBox"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","3","loginTest","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","7","testMethod","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","3","loginTest","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","0","testRegister","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","0","testRegister","All Test Suite","2026-02-17","passed","2026-02-17","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
