"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","692","shouldSearchWiki","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldSearchWiki"
"","0","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","82","shouldCheckTheBox","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldCheckTheBox"
"","0","testRegister","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","35","testCRUDJson","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","testCRUDJson"
"","6","testMethod","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","1","testMethod","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","0","testMethod","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","1","testRegister","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","0","testRegister","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","2","testRegister","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","0","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","77","shouldClickButton","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldClickButton"
"","1","loginTest","All Test Suite","2026-02-16","passed","2026-02-16","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
