"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1315","shouldSearchWiki","All Test Suite","Tue Feb 17 05:42:31 UTC 2026","passed","Tue Feb 17 05:42:32 UTC 2026","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldSearchWiki"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","0","loginTest","All Test Suite","Tue Feb 17 05:42:29 UTC 2026","passed","Tue Feb 17 05:42:29 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","testRegister","All Test Suite","Tue Feb 17 05:42:28 UTC 2026","passed","Tue Feb 17 05:42:28 UTC 2026","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","0","loginTest","All Test Suite","Tue Feb 17 05:42:29 UTC 2026","passed","Tue Feb 17 05:42:29 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","39","testCRUDJson","All Test Suite","Tue Feb 17 05:42:29 UTC 2026","passed","Tue Feb 17 05:42:29 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","testCRUDJson"
"","6","testMethod","All Test Suite","Tue Feb 17 05:42:27 UTC 2026","passed","Tue Feb 17 05:42:27 UTC 2026","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","0","loginTest","All Test Suite","Tue Feb 17 05:42:29 UTC 2026","passed","Tue Feb 17 05:42:29 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","79","shouldCheckTheBox","All Test Suite","Tue Feb 17 05:42:31 UTC 2026","passed","Tue Feb 17 05:42:31 UTC 2026","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldCheckTheBox"
"","1","loginTest","All Test Suite","Tue Feb 17 05:42:29 UTC 2026","passed","Tue Feb 17 05:42:29 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","0","testMethod","All Test Suite","Tue Feb 17 05:42:27 UTC 2026","passed","Tue Feb 17 05:42:27 UTC 2026","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","1","testRegister","All Test Suite","Mon Feb 16 14:33:46 UTC 2026","passed","Mon Feb 16 14:33:46 UTC 2026","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","67","shouldClickButton","All Test Suite","Tue Feb 17 05:42:31 UTC 2026","passed","Tue Feb 17 05:42:31 UTC 2026","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldClickButton"
"","2","testRegister","All Test Suite","Tue Feb 17 05:42:28 UTC 2026","passed","Tue Feb 17 05:42:28 UTC 2026","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","0","loginTest","All Test Suite","Tue Feb 17 05:42:29 UTC 2026","passed","Tue Feb 17 05:42:29 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","testMethod","All Test Suite","Tue Feb 17 05:42:27 UTC 2026","passed","Tue Feb 17 05:42:27 UTC 2026","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
